sentences,choice_a,choice_b,instruct_1,instructloop.thisRepN,instructloop.thisTrialN,instructloop.thisN,instructloop.thisIndex,practice_instructloop.thisRepN,practice_instructloop.thisTrialN,practice_instructloop.thisN,practice_instructloop.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,present_reinforcement1.thisRepN,present_reinforcement1.thisTrialN,present_reinforcement1.thisN,present_reinforcement1.thisIndex,practice_VAT_trials.thisRepN,practice_VAT_trials.thisTrialN,practice_VAT_trials.thisN,practice_VAT_trials.thisIndex,r1_instruct.thisRepN,r1_instruct.thisTrialN,r1_instruct.thisN,r1_instruct.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,present_reinforcement.thisRepN,present_reinforcement.thisTrialN,present_reinforcement.thisN,present_reinforcement.thisIndex,explain.started,explain.stopped,participant code,instructions_text.started,instructions_text.stopped,intruct_resp.keys,intruct_resp.rt,intruct_resp.started,intruct_resp.stopped,text_2.started,text_2.stopped,practiceinstruct.started,practiceinstruct.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,return_2.started,return_2.stopped,input_text.started,input_text.stopped,end.keys,end.rt,end.started,end.stopped,hcountprac.started,hcountprac.stopped,practice round input,displayhcount.started,displayhcount.stopped,text_border.started,text_border.stopped,text_11.started,text_11.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_3.started,text_3.stopped,sentence_3.started,sentence_3.stopped,choice1_3.started,choice1_3.stopped,choice2_3.started,choice2_3.stopped,endchoice_3.keys,endchoice_3.rt,endchoice_3.started,endchoice_3.stopped,VATkeys.started,VATkeys.stopped,textinstruct.started,textinstruct.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,return_3.started,return_3.stopped,text_9.started,text_9.stopped,adjectives input,Hostage Count,Frequency of adjectives,end_2.keys,end_2.rt,end_2.started,end_2.stopped,red_alien_2.started,red_alien_2.stopped,showtimer_2.started,showtimer_2.stopped,actualhcount_2.started,actualhcount_2.stopped,displayhcount_3.started,displayhcount_3.stopped,textborder_2.started,textborder_2.stopped,hostage_4.started,hostage_4.stopped,sound_4.started,sound_4.stopped,releasenotify.started,releasenotify.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.37831237599312,None,the beautiful sky,0,0,['return'],[3.7381011430115905],42.37831237599312,None,42.37831237599312,None,42.37831237599312,None,42.37831237599312,None,42.37831237599312,None,42.37831237599312,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.18040544899122,None,the green dog,1,0.3333333333333333,['return'],[2.037866953993216],46.18040544899122,None,46.18040544899122,None,46.18040544899122,None,46.18040544899122,None,46.18040544899122,None,46.18040544899122,None,48.3002605639922,None,48.30249556299532,None,48.3002605639922,None,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.79567219699675,None,the gray sky,1,0,['return'],[4.61469111101178],48.79567219699675,None,48.79567219699675,None,48.79567219699675,None,48.79567219699675,None,48.79567219699675,None,48.79567219699675,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.47739567499957,None,the mean cat,1,0,['return'],[2.0208999989990843],53.47739567499957,None,53.47739567499957,None,53.47739567499957,None,53.47739567499957,None,53.47739567499957,None,53.47739567499957,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56299442300224,None,the bright sun,1,0,['return'],[7.9588997660030145],55.56299442300224,None,55.56299442300224,None,55.56299442300224,None,55.56299442300224,None,55.56299442300224,None,55.56299442300224,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.60014516299998,None,the colorful sun,1,0,['return'],[5.124811654997757],63.60014516299998,None,63.60014516299998,None,63.60014516299998,None,63.60014516299998,None,63.60014516299998,None,63.60014516299998,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.80261546399561,None,the blue sky,1,0,['return'],[2.0633521050040144],68.80261546399561,None,68.80261546399561,None,68.80261546399561,None,68.80261546399561,None,68.80261546399561,None,68.80261546399561,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.93037831499532,None,i ran to the store,1,0,['return'],[8.426743443997111],70.93037831499532,None,70.93037831499532,None,70.93037831499532,None,70.93037831499532,None,70.93037831499532,None,70.93037831499532,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.43562091399508,None,i am running,1,0,['return'],[2.084868585006916],79.43562091399508,None,79.43562091399508,None,79.43562091399508,None,79.43562091399508,None,79.43562091399508,None,79.43562091399508,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.60211632600112,None,oh my gosh,1,0,['return'],[3.9974564680014737],81.60211632600112,None,81.60211632600112,None,81.60211632600112,None,81.60211632600112,None,81.60211632600112,None,81.60211632600112,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
